sample	batch	variable	value
32151640_EXO_S32	180322-190603	unmapped	75.68598566859903
32151675_EXO_S28	180322-190603	unmapped	67.58943784323627
32151681_EXO_S21	180322-190603	unmapped	55.24823537535201
32151161_EXO_S19	180322-190603	unmapped	57.71941524505928
32151113_EXO_S24	180322-190603	unmapped	82.14873457174916
32140243_EXO_S2	180322-190603	unmapped	28.874702965097708
32150300_EXO_S4	180322-190603	unmapped	76.74045235595685
32151662_EXO_S25	180322-190603	unmapped	58.699247564094435
32150296_EXO_S34	180322-190603	unmapped	66.23094915810995
32151649_EXO_S7	180322-190603	unmapped	61.733338026366994
32151808_EXO_S16	180322-190603	unmapped	86.620747383885
32152166_EXO_S8	180322-190603	unmapped	44.94916778722328
32150759_EXO_S26	180322-190603	unmapped	89.8821079012196
32151206_EXO_S12	180322-190603	unmapped	96.83693794018303
32151872_EXO_S27	180322-190603	unmapped	92.66171885013453
32152211_EXO_S35	180322-190603	unmapped	95.09973646695265
32151109_EXO_S17	180322-190603	unmapped	78.76574150531901
32152477_EXO_S29	180322-190603	unmapped	46.04404942669357
32151201_EXO_S23	180322-190603	unmapped	94.672247690836
32141753_EXO_S10	180322-190603	unmapped	97.02605437732616
32150101_EXO_S3	180322-190603	unmapped	52.59236414565163
32151828_EXO_S15	180322-190603	unmapped	71.80975030600551
32152118_EXO_S1	180322-190603	unmapped	93.5540721355624
32151204_EXO_S9	180322-190603	unmapped	66.31116918981573
32151684_EXO_S13	180322-190603	unmapped	93.97308238448444
32150228_EXO_S18	180322-190603	unmapped	73.98259679383439
32152206_EXO_S33	180322-190603	unmapped	88.74680729949866
32151642_EXO_S5	180322-190603	unmapped	81.22119373216255
32151157_EXO_S31	180322-190603	unmapped	63.6541328289649
32151086_EXO_S6	180322-190603	unmapped	91.40487767969289
32150688_EXO_S20	180322-190603	unmapped	83.26381461386273
32151947_EXO_S11	180322-190603	unmapped	69.96617779118152
32151680_EXO_S22	180322-190603	unmapped	90.23368836152275
32150301_EXO_S14	180322-190603	unmapped	87.82621645497794
32150744_EXO_S30	180322-190603	unmapped	57.08102738163244
32160475_EXO_S26	180626-180628-190531	unmapped	95.53214666406734
32161242_EXO_S7	180626-180628-190531	unmapped	86.81260951157353
32160187_EXO_S9	180626-180628-190531	unmapped	40.61528461625573
32160696_EXO_S3	180626-180628-190531	unmapped	66.46188676881097
32151244_EXO_S30	180626-180628-190531	unmapped	69.78024355072883
32161406_EXO_S4	180626-180628-190531	unmapped	79.96323970444325
32160790_EXO_S27	180626-180628-190531	unmapped	87.5076730493614
32152197_EXO_S12	180626-180628-190531	unmapped	80.31319738198718
32150184_EXO_S18	180626-180628-190531	unmapped	86.33333798610947
32161462_EXO_S13	180626-180628-190531	unmapped	67.19778450765484
32151184_EXO_S8	180626-180628-190531	unmapped	85.96491093686137
32151974_EXO_S24	180626-180628-190531	unmapped	8.831474828338601
32160074_EXO_S17	180626-180628-190531	unmapped	95.01015974553503
32151031_EXO_S19	180626-180628-190531	unmapped	79.75126316974078
32151484_EXO_S11	180626-180628-190531	unmapped	34.410455834936826
32151694_EXO_S10	180626-180628-190531	unmapped	52.99968427491134
32160668_EXO_S16	180626-180628-190531	unmapped	42.40359176040011
32152356_EXO_S21	180626-180628-190531	unmapped	35.94903365020872
32151971_EXO_S23	180626-180628-190531	unmapped	65.02570376802348
32160196_EXO_S22	180626-180628-190531	unmapped	21.492817818127396
32151750_EXO_S14	180626-180628-190531	unmapped	87.13152234743943
32150887_EXO_S28	180626-180628-190531	unmapped	38.075481445180564
32150225_EXO_S2	180626-180628-190531	unmapped	89.96709373887236
32152444_EXO_S25	180626-180628-190531	unmapped	88.16964892519316
32140237_EXO_S31	180626-180628-190531	unmapped	87.51154715208078
32150168_EXO_S6	180626-180628-190531	unmapped	95.79924769053164
32152194_EXO_S15	180626-180628-190531	unmapped	25.63241058937554
32151686_EXO_S20	180626-180628-190531	unmapped	94.49004782869721
32161248_EXO_S29	180626-180628-190531	unmapped	77.22017411279842
32161349_EXO_S5	180626-180628-190531	unmapped	94.74669122310812
32150855_EXO_S1	180626-180628-190531	unmapped	44.30141121599456
32152388_EXO_S22	180726-190530	unmapped	96.84686363936163
32170641_EXO_S35	180726-190530	unmapped	51.1434049584792
32160652_EXO_S28	180726-190530	unmapped	93.84299758261132
32152480_EXO_S3	180726-190530	unmapped	77.81479796182474
32170419_EXO_S34	180726-190530	unmapped	72.63424330390444
32160008_EXO_S24	180726-190530	unmapped	77.70054801549476
32151370_EXO_S14	180726-190530	unmapped	95.74290855752713
32150690_EXO_S2	180726-190530	unmapped	66.44533454463956
32151510_EXO_S15	180726-190530	unmapped	95.35735892082951
32160118_EXO_S26	180726-190530	unmapped	40.61845039076177
32150162_EXO_S11	180726-190530	unmapped	96.55943585294581
32151633_EXO_S16	180726-190530	unmapped	86.61474103653168
32152263_EXO_S7	180726-190530	unmapped	43.48485948360123
32152081_EXO_S18	180726-190530	unmapped	88.08728521502933
32152276_EXO_S21	180726-190530	unmapped	84.50108832255057
32160740_EXO_S29	180726-190530	unmapped	68.01158827889276
32152259_EXO_S20	180726-190530	unmapped	82.30695674281176
32160002_EXO_S23	180726-190530	unmapped	89.80153867210751
32161448_EXO_S32	180726-190530	unmapped	91.08557746641534
32152082_EXO_S19	180726-190530	unmapped	60.03028407128454
32152019_EXO_S17	180726-190530	unmapped	96.29048274293169
32161241_EXO_S31	180726-190530	unmapped	94.77325185123622
32170071_EXO_S33	180726-190530	unmapped	35.34995370188529
32141754_EXO_S5	180726-190530	unmapped	52.37974028198248
32150091_EXO_S1	180726-190530	unmapped	65.03401626111369
32160964_EXO_S30	180726-190530	unmapped	60.11852188835287
32160619_EXO_S27	180726-190530	unmapped	42.551909079200186
32151247_EXO_S13	180726-190530	unmapped	88.8079696559052
32150880_EXO_S12	180726-190530	unmapped	94.49198465011395
32151523_EXO_S6	180726-190530	unmapped	75.05090438807258
32141765_EXO_S9	180726-190530	unmapped	68.37432042096185
32150158_EXO_S10	180726-190530	unmapped	65.74570132914918
32140235_EXO_S8	180726-190530	unmapped	92.06766531204106
32160071_EXO_S25	180726-190530	unmapped	90.27518165491762
32151648_EXO_S4	180726-190530	unmapped	86.09669304721922
32152253_EXO_S33	180913-190529	unmapped	49.316019661389326
32151859_EXO_S28	180913-190529	unmapped	89.61295026240253
32150292_EXO_S9	180913-190529	unmapped	64.70410367995157
32152341_EXO_S35	180913-190529	unmapped	96.218261787
32151226_EXO_S21	180913-190529	unmapped	64.79994790527263
32150013_EXO_S3	180913-190529	unmapped	77.13701413410203
32150698_EXO_S12	180913-190529	unmapped	45.76597821155277
32151984_EXO_S30	180913-190529	unmapped	83.13662379625674
32152084_EXO_S31	180913-190529	unmapped	90.15632545269405
32150243_EXO_S8	180913-190529	unmapped	77.65980940786504
32151180_EXO_S20	180913-190529	unmapped	58.532957119781656
32141643_EXO_S1	180913-190529	unmapped	74.98617367867492
32141786_EXO_S2	180913-190529	unmapped	41.813886445812564
32150076_EXO_S4	180913-190529	unmapped	97.23070128243221
32150849_EXO_S15	180913-190529	unmapped	60.983837361485485
32151444_EXO_S22	180913-190529	unmapped	86.45548353493336
32150163_EXO_S7	180913-190529	unmapped	94.93636640861043
32151565_EXO_S23	180913-190529	unmapped	95.51859193949142
32151026_EXO_S17	180913-190529	unmapped	41.93996557804141
32150825_EXO_S13	180913-190529	unmapped	52.04032763733108
32152273_EXO_S34	180913-190529	unmapped	58.16897124280562
32151691_EXO_S25	180913-190529	unmapped	93.52621960815381
32150844_EXO_S14	180913-190529	unmapped	91.83610795900658
32150424_EXO_S10	180913-190529	unmapped	59.844453677040384
32152094_EXO_S32	180913-190529	unmapped	97.53056062751787
32151125_EXO_S18	180913-190529	unmapped	94.03073508715269
32150080_EXO_S5	180913-190529	unmapped	58.66253173260914
32151765_EXO_S27	180913-190529	unmapped	91.43086152739586
32151881_EXO_S29	180913-190529	unmapped	93.95090549016277
32150696_EXO_S11	180913-190529	unmapped	52.170763574403736
32151725_EXO_S26	180913-190529	unmapped	57.808123005810266
32150993_EXO_S16	180913-190529	unmapped	90.97492804759605
32150147_EXO_S6	180913-190529	unmapped	71.16623846158218
32151667_EXO_S24	180913-190529	unmapped	36.35672096734953
32151152_EXO_S19	180913-190529	unmapped	94.08515325698872
32160466_EXO_S13	180919-190527	unmapped	84.37302908015818
32160120_EXO_S8	180919-190527	unmapped	91.41143683764766
32160246_EXO_S10	180919-190527	unmapped	89.47737561890482
32170365_EXO_S26	180919-190527	unmapped	94.19149615304599
32170367_EXO_S27	180919-190527	unmapped	94.97068713351021
32152451_EXO_S5	180919-190527	unmapped	46.24080253839094
32161246_EXO_S18	180919-190527	unmapped	95.76857087912371
32170368_EXO_S28	180919-190527	unmapped	72.71345153703007
32170400_EXO_S30	180919-190527	unmapped	72.7026220459724
32160472_EXO_S14	180919-190527	unmapped	96.8908079690275
32160241_EXO_S9	180919-190527	unmapped	48.69896421279901
32152359_EXO_S1	180919-190527	unmapped	76.83812107893469
32161415_EXO_S22	180919-190527	unmapped	91.78540421993037
32161252_EXO_S19	180919-190527	unmapped	93.98558475620065
32170381_EXO_S29	180919-190527	unmapped	83.28377286374848
32152366_EXO_S2	180919-190527	unmapped	90.37098832930046
32150043_EXO_S34	180919-190527	unmapped	80.42245136451446
32170453_EXO_S31	180919-190527	unmapped	33.484966645663015
32170276_EXO_S24	180919-190527	unmapped	50.14974914344959
32152381_EXO_S3	180919-190527	unmapped	83.48685679657756
32161367_EXO_S21	180919-190527	unmapped	86.7670292680222
32160457_EXO_S12	180919-190527	unmapped	89.11107400744365
32152446_EXO_S4	180919-190527	unmapped	80.39386131837301
32160782_EXO_S17	180919-190527	unmapped	91.73302592061435
32160083_EXO_S7	180919-190527	unmapped	65.70929694699278
32170613_EXO_S32	180919-190527	unmapped	97.12006053314526
32160323_EXO_S11	180919-190527	unmapped	87.36386692203206
32170644_EXO_S33	180919-190527	unmapped	97.9284514907369
32160600_EXO_S15	180919-190527	unmapped	98.27534498419178
32161358_EXO_S20	180919-190527	unmapped	93.0885629005345
32160028_EXO_S6	180919-190527	unmapped	30.81482888073568
32160766_EXO_S16	180919-190527	unmapped	97.62206375315314
32170346_EXO_S25	180919-190527	unmapped	87.46666182830162
32170068_EXO_S23	180919-190527	unmapped	68.73761447755061
32160009_EXO_S30	181003-190524	unmapped	58.36774911513673
32152260_EXO_S26	181003-190524	unmapped	96.39443187292608
32152408_EXO_S29	181003-190524	unmapped	93.13307451482864
32160078_EXO_S32	181003-190524	unmapped	95.49323210228727
32150179_EXO_S2	181003-190524	unmapped	57.482956442098775
32160080_EXO_S33	181003-190524	unmapped	87.56341521917793
32150313_EXO_S5	181003-190524	unmapped	95.28550838807436
32151181_EXO_S16	181003-190524	unmapped	95.8158362755523
32151178_EXO_S15	181003-190524	unmapped	45.13041348546681
32152087_EXO_S24	181003-190524	unmapped	94.07167914292334
32151988_EXO_S22	181003-190524	unmapped	95.1304847478101
32160019_EXO_S31	181003-190524	unmapped	83.45548481912166
32152030_EXO_S23	181003-190524	unmapped	88.63137327409466
32151021_EXO_S13	181003-190524	unmapped	82.6497889316076
32150156_EXO_S1	181003-190524	unmapped	53.3656035403347
32151970_EXO_S21	181003-190524	unmapped	82.75979038732875
32151029_EXO_S14	181003-190524	unmapped	94.49821601803409
32150829_EXO_S9	181003-190524	unmapped	93.34873509346755
32150792_EXO_S8	181003-190524	unmapped	94.36224528534501
32151754_EXO_S20	181003-190524	unmapped	89.04203771789143
32150309_EXO_S4	181003-190524	unmapped	94.85323905268687
32160185_EXO_S34	181003-190524	unmapped	48.09722746583135
32151018_EXO_S12	181003-190524	unmapped	84.52170517394813
32151480_EXO_S17	181003-190524	unmapped	42.941159453272206
32150697_EXO_S7	181003-190524	unmapped	88.68778256695137
32152351_EXO_S28	181003-190524	unmapped	95.8398861195793
32150318_EXO_S6	181003-190524	unmapped	97.74211236691089
32152200_EXO_S25	181003-190524	unmapped	47.00569895524502
32150274_EXO_S3	181003-190524	unmapped	91.3187902779206
32151489_EXO_S18	181003-190524	unmapped	90.54483915003031
32150882_EXO_S11	181003-190524	unmapped	95.66554788532909
32151625_EXO_S19	181003-190524	unmapped	86.96665925560741
32150835_EXO_S10	181003-190524	unmapped	77.64988765520702
32152348_EXO_S27	181003-190524	unmapped	78.4015444963824
32160965_EXO_S9	181004-190521	unmapped	92.15829272196196
32160622_EXO_S5	181004-190521	unmapped	81.49841167104341
32161245_EXO_S17	181004-190521	unmapped	84.96783191188383
32170434_EXO_S28	181004-190521	unmapped	90.660544236216
32160340_EXO_S2	181004-190521	unmapped	84.41024002400303
32161045_EXO_S12	181004-190521	unmapped	97.03006911074871
32170383_EXO_S25	181004-190521	unmapped	88.97717495673263
32170272_EXO_S24	181004-190521	unmapped	93.85130466108106
32160628_EXO_S6	181004-190521	unmapped	91.81972878729603
32161104_EXO_S15	181004-190521	unmapped	93.40988757034796
32161237_EXO_S16	181004-190521	unmapped	95.00375385722849
32170016_EXO_S20	181004-190521	unmapped	96.54479607990595
32161013_EXO_S11	181004-190521	unmapped	96.52562940688668
32170385_EXO_S26	181004-190521	unmapped	90.90307324316787
32150161_EXO_S32	181004-190521	unmapped	84.60333247576939
32160612_EXO_S4	181004-190521	unmapped	93.60789705926777
32161253_EXO_S18	181004-190521	unmapped	81.07262197117701
32170268_EXO_S22	181004-190521	unmapped	84.53380783863302
32170269_EXO_S23	181004-190521	unmapped	91.24162450512019
32150116_EXO_S31	181004-190521	unmapped	35.260725272124944
32161004_EXO_S10	181004-190521	unmapped	75.51956149277889
32161392_EXO_S19	181004-190521	unmapped	91.09145850246931
32160765_EXO_S8	181004-190521	unmapped	79.96901635592191
32170450_EXO_S29	181004-190521	unmapped	65.85710724412361
32160373_EXO_S3	181004-190521	unmapped	95.41115665552132
32160284_EXO_S1	181004-190521	unmapped	95.03609226243108
32170409_EXO_S27	181004-190521	unmapped	55.42184479338279
32170083_EXO_S21	181004-190521	unmapped	93.30337806372877
32161065_EXO_S14	181004-190521	unmapped	96.7237487871771
32150978_EXO_S34	181004-190521	unmapped	94.73840938798195
32161046_EXO_S13	181004-190521	unmapped	96.94405176571247
32160670_EXO_S7	181004-190521	unmapped	88.98570367338083
32170652_EXO_S30	181004-190521	unmapped	61.00073897518768
32150704_EXO_S33	181004-190521	unmapped	84.58693610149184
32170378_EXO_S26	181023-190319	unmapped	90.15499452554302
32161454_EXO_S20	181023-190319	unmapped	93.12585077622231
32160526_EXO_S15	181023-190319	unmapped	78.96372680086112
32152086_EXO_S7	181023-190319	unmapped	89.46169301820612
32151130_EXO_S2	181023-190319	unmapped	53.07898266944544
32151185_EXO_S4	181023-190319	unmapped	79.11882379100088
32170440_EXO_S27	181023-190319	unmapped	83.58931222692165
32152175_EXO_S9	181023-190319	unmapped	87.84670002474445
32152337_EXO_S10	181023-190319	unmapped	41.540828423194235
32151033_EXO_S1	181023-190319	unmapped	79.29665256836304
32170273_EXO_S23	181023-190319	unmapped	95.27267591844776
32152088_EXO_S8	181023-190319	unmapped	56.637543811724626
32151825_EXO_S6	181023-190319	unmapped	52.004167128475345
32151151_EXO_S3	181023-190319	unmapped	52.872878370461066
32170329_EXO_S24	181023-190319	unmapped	94.27445304031463
32170337_EXO_S25	181023-190319	unmapped	48.11950266112583
32160079_EXO_S13	181023-190319	unmapped	79.0885897740281
32152347_EXO_S11	181023-190319	unmapped	56.40092320421626
32160791_EXO_S16	181023-190319	unmapped	91.95257507940299
32161000_EXO_S17	181023-190319	unmapped	95.8321435029448
