batch	variable1	value1	batch_shortname
180322-190603	readsPerc	86.6398203083114	A
180626-180628-190531	readsPerc	83.2214375821092	B
180726-190530	readsPerc	81.1371018394366	C
180913-190529	readsPerc	67.2576200061099	D
180919-190527	readsPerc	82.4679894974746	E
181003-190524	readsPerc	87.4362009368445	F
181004-190521	readsPerc	85.0546420983377	G
181023-190319	readsPerc	82.1876229043937	H
180322-190603	readsAdapterNotFoundPerc	3.39780237169364	A
180626-180628-190531	readsAdapterNotFoundPerc	0.825769080546003	B
180726-190530	readsAdapterNotFoundPerc	1.31676282539013	C
180913-190529	readsAdapterNotFoundPerc	1.0148996463362	D
180919-190527	readsAdapterNotFoundPerc	1.0405592027754	E
181003-190524	readsAdapterNotFoundPerc	1.10182675481137	F
181004-190521	readsAdapterNotFoundPerc	1.28860204844672	G
181023-190319	readsAdapterNotFoundPerc	1.00298802445324	H
180322-190603	shortReads	9.96237731999497	A
180626-180628-190531	shortReads	15.9527933373448	B
180726-190530	shortReads	17.5461353351733	C
180913-190529	shortReads	31.7274803475539	D
180919-190527	shortReads	16.49145129975	E
181003-190524	shortReads	11.4619723083441	F
181004-190521	shortReads	13.6567558532156	G
181023-190319	shortReads	16.8093890711531	H

