sample	batch	variable	value
180322-190603_Brain_S36	180322-190603	refSpecies	69.8009250600445
180626-180628-190531_Brain_S32	180626-180628-190531	refSpecies	65.5659483192413
180726-190530_Brain_S36	180726-190530	refSpecies	92.0749093325565
180913-190529_Brain_S36	180913-190529	refSpecies	93.2667044427195
180919-190527_Brain_S35	180919-190527	refSpecies	92.2011324258537
181003-190524_Brain_S35	181003-190524	refSpecies	92.6763838562361
181004-190521_Brain_S35	181004-190521	refSpecies	92.2824554993713
181023-190319_Brain_S29	181023-190319	refSpecies	30.5218013736802
180322-190603_Brain_S36	180322-190603	unmapped	29.3887149914465
180626-180628-190531_Brain_S32	180626-180628-190531	unmapped	27.855247010474
180726-190530_Brain_S36	180726-190530	unmapped	6.14071250063391
180913-190529_Brain_S36	180913-190529	unmapped	2.98222394504863
180919-190527_Brain_S35	180919-190527	unmapped	4.30067674026663
181003-190524_Brain_S35	181003-190524	unmapped	5.9017401471387
181004-190521_Brain_S35	181004-190521	unmapped	6.16655209557599
181023-190319_Brain_S29	181023-190319	unmapped	68.7848723584659
180322-190603_Brain_S36	180322-190603	bacteria	0.703461927246819
180626-180628-190531_Brain_S32	180626-180628-190531	bacteria	5.99034008721109
180726-190530_Brain_S36	180726-190530	bacteria	1.54865449545922
180913-190529_Brain_S36	180913-190529	bacteria	3.2643281065372
180919-190527_Brain_S35	180919-190527	bacteria	3.11459220968179
181003-190524_Brain_S35	181003-190524	bacteria	1.22442235028641
181004-190521_Brain_S35	181004-190521	bacteria	1.33768444884307
181023-190319_Brain_S29	181023-190319	bacteria	0.620250398295818
180322-190603_Brain_S36	180322-190603	virus	0.10689802126223
180626-180628-190531_Brain_S32	180626-180628-190531	virus	0.588464583073598
180726-190530_Brain_S36	180726-190530	virus	0.235723671350371
180913-190529_Brain_S36	180913-190529	virus	0.486743505694631
180919-190527_Brain_S35	180919-190527	virus	0.383598624197881
181003-190524_Brain_S35	181003-190524	virus	0.197453646338758
181004-190521_Brain_S35	181004-190521	virus	0.213307956209634
181023-190319_Brain_S29	181023-190319	virus	0.0730758695580506

