batch	variable1	value1	batch_shortname
180322-190603	ultraShortReadsPerc	8.18859223416603	A
180626-180628-190531	ultraShortReadsPerc	14.4559630250829	B
180726-190530	ultraShortReadsPerc	13.773237193268	C
180913-190529	ultraShortReadsPerc	20.6554212973483	D
180919-190527	ultraShortReadsPerc	12.7877677669533	E
181003-190524	ultraShortReadsPerc	10.4825021588805	F
181004-190521	ultraShortReadsPerc	12.5485498677093	G
181023-190319	ultraShortReadsPerc	15.9027148907427	H
180322-190603	readsAdapterNotFoundPerc	3.39780237169364	A
180626-180628-190531	readsAdapterNotFoundPerc	0.825769080546003	B
180726-190530	readsAdapterNotFoundPerc	1.31676282539013	C
180913-190529	readsAdapterNotFoundPerc	1.0148996463362	D
180919-190527	readsAdapterNotFoundPerc	1.0405592027754	E
181003-190524	readsAdapterNotFoundPerc	1.10182675481137	F
181004-190521	readsAdapterNotFoundPerc	1.28860204844672	G
181023-190319	readsAdapterNotFoundPerc	1.00298802445324	H
180322-190603	reads	88.4136053941404	A
180626-180628-190531	reads	84.7182678943711	B
180726-190530	reads	84.9099999813419	C
180913-190529	reads	78.3296790563155	D
180919-190527	reads	86.1716730302713	E
181003-190524	reads	88.4156710863081	F
181004-190521	reads	86.162848083844	G
181023-190319	reads	83.0942970848041	H
