sample	batch		value
32151640_EXO_S32	180322-190603	shortReadsPerc	14.409624051413727
32151675_EXO_S28	180322-190603	shortReadsPerc	11.818768352851848
32151681_EXO_S21	180322-190603	shortReadsPerc	9.655723390788157
32151161_EXO_S19	180322-190603	shortReadsPerc	11.792228918308846
32151113_EXO_S24	180322-190603	shortReadsPerc	16.23158715696898
32140243_EXO_S2	180322-190603	shortReadsPerc	1.6850293037875304
32150300_EXO_S4	180322-190603	shortReadsPerc	3.76876666114914
32151662_EXO_S25	180322-190603	shortReadsPerc	17.422591131112586
32150296_EXO_S34	180322-190603	shortReadsPerc	6.396180794004447
32151649_EXO_S7	180322-190603	shortReadsPerc	8.230428453776053
32151808_EXO_S16	180322-190603	shortReadsPerc	11.699728609010503
32152166_EXO_S8	180322-190603	shortReadsPerc	4.597247002341598
32150759_EXO_S26	180322-190603	shortReadsPerc	13.794886990246322
32151206_EXO_S12	180322-190603	shortReadsPerc	11.082431806354657
32151872_EXO_S27	180322-190603	shortReadsPerc	14.629776221970843
32152211_EXO_S35	180322-190603	shortReadsPerc	9.197210973085587
32151109_EXO_S17	180322-190603	shortReadsPerc	14.178720522671085
32152477_EXO_S29	180322-190603	shortReadsPerc	11.782116250395799
32151201_EXO_S23	180322-190603	shortReadsPerc	11.805189891389977
32141753_EXO_S10	180322-190603	shortReadsPerc	13.687044086652973
32150101_EXO_S3	180322-190603	shortReadsPerc	3.1383842827982904
32151828_EXO_S15	180322-190603	shortReadsPerc	8.145540354966096
32152118_EXO_S1	180322-190603	shortReadsPerc	4.6825726572799455
32151204_EXO_S9	180322-190603	shortReadsPerc	10.775683337587623
32151684_EXO_S13	180322-190603	shortReadsPerc	10.689263405716877
32150228_EXO_S18	180322-190603	shortReadsPerc	8.986953569294613
32152206_EXO_S33	180322-190603	shortReadsPerc	6.62789922179
32151642_EXO_S5	180322-190603	shortReadsPerc	6.736298151417396
32151157_EXO_S31	180322-190603	shortReadsPerc	10.309703593452614
32151086_EXO_S6	180322-190603	shortReadsPerc	7.634289143525182
32150688_EXO_S20	180322-190603	shortReadsPerc	10.600463733523242
32151947_EXO_S11	180322-190603	shortReadsPerc	13.564745650143447
32151680_EXO_S22	180322-190603	shortReadsPerc	8.081498710491061
32150301_EXO_S14	180322-190603	shortReadsPerc	7.614090023083353
32150744_EXO_S30	180322-190603	shortReadsPerc	11.002531820789175
32160475_EXO_S26	180626-180628-190531	shortReadsPerc	14.689167041165556
32161242_EXO_S7	180626-180628-190531	shortReadsPerc	15.152232406487002
