"name"	 "X180913.190529_Brain_S36"	 "X32141643_EXO_S1"	 "X32141786_EXO_S2"	 "X32150013_EXO_S3"	 "X32150076_EXO_S4"	 "X32150080_EXO_S5"	 "X32150147_EXO_S6"	 "X32150163_EXO_S7"	 "X32150243_EXO_S8"	 "X32150292_EXO_S9"	 "X32150424_EXO_S10"	 "X32150696_EXO_S11"	 "X32150698_EXO_S12"	 "X32150825_EXO_S13"	 "X32150844_EXO_S14"	 "X32150849_EXO_S15"	 "X32150993_EXO_S16"	 "X32151026_EXO_S17"	 "X32151125_EXO_S18"	 "X32151152_EXO_S19"	 "X32151180_EXO_S20"	 "X32151226_EXO_S21"	 "X32151444_EXO_S22"	 "X32151565_EXO_S23"	 "X32151667_EXO_S24"	 "X32151691_EXO_S25"	 "X32151725_EXO_S26"	 "X32151765_EXO_S27"	 "X32151859_EXO_S28"	 "X32151881_EXO_S29"	 "X32151984_EXO_S30"	 "X32152084_EXO_S31"	 "X32152094_EXO_S32"	 "X32152253_EXO_S33"	 "X32152273_EXO_S34"	 "X32152341_EXO_S35"
"1"	 "hsa-let-7a-5p"	 642273	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"2"	 "hsa-miR-9-5p"	 580167	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"3"	 "hsa-miR-128-3p"	 410237	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"4"	 "hsa-miR-26a-5p"	 403776	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"5"	 "hsa-let-7f-5p"	 260402	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"6"	 "hsa-miR-125b-5p"	 206977	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"7"	 "hsa-miR-181a-5p"	 150105	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"8"	 "hsa-miR-125a-5p"	 146360	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"9"	 "hsa-let-7g-5p"	 129713	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"10"	 "hsa-miR-124-3p"	 129252	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"11"	 "hsa-let-7b-5p"	 128113	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"12"	 "hsa-miR-30d-5p"	 124552	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"13"	 "hsa-miR-9-3p"	 122841	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"14"	 "hsa-miR-143-3p"	 119087	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"15"	 "hsa-miR-27b-3p"	 111592	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"16"	 "hsa-let-7c-5p"	 99965	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"17"	 "hsa-miR-30a-5p"	 83012	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"18"	 "hsa-miR-219a-2-3p"	 82882	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"19"	 "hsa-miR-100-5p"	 72898	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"20"	 "hsa-miR-103a-3p"	 53446	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"21"	 "hsa-miR-151a-5p"	 50929	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"22"	 "hsa-let-7e-5p"	 46216	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"23"	 "hsa-miR-191-5p"	 44521	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"24"	 "hsa-miR-181b-5p"	 42658	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"25"	 "hsa-miR-99a-5p"	 38807	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"26"	 "hsa-miR-29a-3p"	 38279	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"27"	 "hsa-let-7d-5p"	 36561	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"28"	 "hsa-miR-23b-3p"	 36202	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"29"	 "hsa-miR-98-5p"	 35851	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"30"	 "hsa-miR-92a-3p"	 35427	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"31"	 "hsa-miR-30c-5p"	 31971	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"32"	 "hsa-miR-487b-3p"	 30041	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"33"	 "hsa-miR-99b-5p"	 29490	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"34"	 "hsa-let-7i-5p"	 29437	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"35"	 "hsa-miR-26b-5p"	 29088	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"36"	 "hsa-miR-7-5p"	 27728	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"37"	 "hsa-miR-139-5p"	 27120	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"38"	 "hsa-miR-21-5p"	 24749	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"39"	 "hsa-miR-101-3p"	 24593	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"40"	 "hsa-miR-126-3p"	 22833	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"41"	 "hsa-miR-338-5p"	 22175	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"42"	 "hsa-miR-132-3p"	 20339	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"43"	 "hsa-miR-24-3p"	 19185	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
"44"	 "hsa-miR-451a"	 19020	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA	 NA
