Read Length (nt)	UR	Percentage_UR	RC	32151484_EXO_S11	RPM
15	5131	4.2726288616870685	280066	4.25172605965618	42517.2605965618
16	5477	4.560746107086352	265429	4.0295194571582424	40295.19457158242
17	8255	6.874011158297943	358756	5.446331344247472	54463.31344247472
18	5066	4.218502789574486	243611	3.698296962569186	36982.96962569186
19	3988	3.320842701307353	204354	3.102330262134565	31023.302621345647
20	6589	5.486718294612374	384531	5.837625679110105	58376.25679110104
21	9484	7.897410275626614	688338	10.449767599250233	104497.67599250232
22	12088	10.065783995336831	1912860	29.039428957723967	290394.28957723966
23	10807	8.999084020318096	909498	13.807232394525492	138072.3239452549
24	7562	6.296943958697644	513277	7.792138984104265	77921.38984104265
25	5428	4.519943375801482	151205	2.2954669215481807	22954.669215481805
26	4654	3.875426763260888	113498	1.723031015256608	17230.31015256608
27	4224	3.5173619785161128	92214	1.39991525877877	13999.1525877877
28	3921	3.2650512115913064	79383	1.2051258267468616	12051.258267468616
29	3767	3.136814056124573	73647	1.1180467072600697	11180.467072600697
30	3342	2.7829128153884586	59344	0.9009106113710209	9009.10611371021
31	3077	2.5622449829294696	56322	0.8550331533708319	8550.331533708317
32	3348	2.787909068198851	70040	1.0632882721155688	10632.882721155685
33	2972	2.474810558747606	56107	0.8517692045058283	8517.692045058282
34	2254	1.8769256391040052	27862	0.4229774105894342	4229.774105894342
35	1780	1.482221667083021	17346	0.2633323581969825	2633.3235819698248
36	1388	1.1557998168040635	10277	0.15601675574716875	1560.1675574716874
37	1135	0.945124489965859	6832	0.10371766811955405	1037.1766811955404
38	944	0.7860771088350403	4296	0.06521825267002403	652.1825267002403
39	750	0.6245316012990257	2646	0.04016934277581089	401.6934277581089
40	582	0.48463652260804396	1664	0.02526144609937616	252.61446099376158
41	474	0.3947039720209843	1166	0.017701229658577285	177.01229658577284
42	349	0.29061537180448	702	0.010657172573174318	106.57172573174317
43	306	0.2548088933300025	554	0.008410361261450958	84.10361261450957
44	206	0.17153801315679906	322	0.004888332718749474	48.88332718749473
45	180	0.1498875843117662	259	0.0039319197955158805	39.319197955158806
46	138	0.11491381463902073	185	0.0028085141396542008	28.085141396542003
47	100	0.08327088017320343	123	0.0018672823739322522	18.67282373932252
48	82	0.06828212174202682	95	0.0014422099636062112	14.42209963606211
49	61	0.050795236905654094	70	0.0010626810258151029	10.626810258151028
50	40	0.03330835206928137	45	6.831520880239947E-4	6.831520880239947
51	31	0.025813972853693065	45	6.831520880239947E-4	6.831520880239947
52	19	0.015821467232908653	21	3.188043077445309E-4	3.1880430774453083
53	18	0.014988758431176618	24	3.6434778027946387E-4	3.643477802794638
54	16	0.013323340827712549	16	2.4289852018630925E-4	2.4289852018630924
55	14	0.01165792322424848	16	2.4289852018630925E-4	2.4289852018630924
56	15	0.012490632025980514	23	3.491666227678195E-4	3.491666227678195
57	18	0.014988758431176618	33	5.009781978842628E-4	5.009781978842628
58	10	0.008327088017320343	11	1.669927326280876E-4	1.6699273262808758
