Read Length (nt)	UR	Percentage_UR	RC	180919-190527_Brain_S35	RPM
15	1710	1.0904638616450062	55856	0.33002169341967846	3300.216934196784
16	1591	1.014577780045149	39485	0.23329466063943002	2332.9466063943
17	2943	1.876745698725879	91069	0.5380755084151514	5380.755084151514
18	3359	2.142028135243027	200858	1.1867569696521372	11867.569696521372
19	4547	2.899613554912189	581293	3.4345334473110345	34345.33447311034
20	9696	6.183121404976596	1131949	6.688050090316378	66880.50090316377
21	18791	11.98298621296568	3821801	22.58087292203202	225808.7292203202
22	27291	17.403420612955475	6904440	40.794453253268486	407944.53253268485
23	21462	13.686278010891884	2377587	14.047824548707624	140478.24548707623
24	11536	7.356486028033212	886501	5.2378358858177885	52378.35885817788
25	5711	3.6418942186284387	94903	0.5607284583680848	5607.284583680847
26	3854	2.457688726771844	36788	0.2173596042953869	2173.596042953869
27	3632	2.316119734207405	35281	0.2084555887557232	2084.555887557232
28	3553	2.265741579195735	34482	0.20373474707278275	2037.3474707278274
29	3609	2.3014526764191974	37831	0.2235221047651077	2235.221047651077
30	3927	2.5042406927952863	52502	0.3102047935390998	3102.0479353909977
31	4503	2.871554835665183	130632	0.7718310271913391	7718.31027191339
32	5750	3.6667644470519214	176841	1.0448540225943383	10448.540225943381
33	4917	3.1355618758529213	127761	0.7548679026960674	7548.679026960674
34	3270	2.08527299858431	49401	0.29188272838415813	2918.827283841581
35	2127	1.3563839963268585	15240	0.0900445897972626	900.445897972626
36	1618	1.0317956304921754	11786	0.06963684615161003	696.3684615161003
37	1147	0.7314397949162702	5310	0.031373803925424174	313.7380392542417
38	958	0.6109148417870853	4412	0.026068026915060535	260.68026915060534
39	772	0.4923029831520145	3795	0.022422520884554563	224.22520884554564
40	586	0.37369112451694364	2281	0.013477146281335695	134.77146281335695
41	459	0.29270345759944905	1312	0.007751870197769588	77.51870197769588
42	449	0.2863264759524022	1698	0.010032527130954849	100.32527130954848
43	397	0.25316617138775876	2520	0.014889262879862319	148.89262879862318
44	409	0.26081854936421495	4219	0.024927698448467907	249.27698448467905
45	320	0.20406341270549824	1631	0.009636661808355334	96.36661808355333
46	267	0.17026540997615008	523	0.003090112891336505	30.90112891336505
47	250	0.1594245411761705	495	0.0029246766371158125	29.246766371158127
48	183	0.1166987641409568	355	0.0020974953660123506	20.974953660123504
49	151	0.09629242287040699	264	0.0015598275397951	15.598275397951001
50	136	0.08672695039983674	182	0.001075335652434501	10.753356524345008
51	126	0.08034996875278994	198	0.001169870654846325	11.698706548463251
52	116	0.07397298710574311	188	0.001110786278338935	11.107862783389349
53	127	0.08098766691749461	245	0.0014475672244310589	14.475672244310587
54	128	0.0816253650821993	282	0.0016661794175084025	16.661794175084022
55	112	0.07142219444692438	220	0.0012998562831625835	12.998562831625835
56	98	0.06249442014105883	202	0.001193504405449281	11.935044054492812
57	117	0.07461068527044779	173	0.0010221597135778497	10.221597135778497
58	109	0.06950909995281034	156	9.217162735152864E-4	9.217162735152863
