Read Length (nt)	UR	Percentage_UR	RC	32170083_EXO_S21	RPM
15	32339	7.629515862286991	422604	8.933755959832725	89337.55959832725
16	29116	6.869135837420701	409317	8.652871691254346	86528.71691254346
17	36021	8.498184572047364	451164	9.537508101821023	95375.08101821023
18	20479	4.831468361537936	279161	5.9014023707841465	59014.02370784146
19	13311	3.140371861928388	194903	4.120206713233376	41202.06713233376
20	18087	4.267140400172695	235068	4.9692860123566245	49692.86012356624
21	21996	5.189363644728181	318372	6.7303143189460215	67303.14318946021
22	25037	5.906805672534073	613169	12.962258303600231	129622.58303600231
23	23180	5.468696548681544	383291	8.102687754020891	81026.87754020892
24	19803	4.671984372456454	282489	5.971755561559253	59717.55561559253
25	16656	3.929534500208792	139163	2.9418753268738618	29418.75326873862
26	15467	3.6490219809515723	115788	2.4477329487584396	24477.329487584393
27	14357	3.3871473834952943	96709	2.0444070693118452	20444.07069311845
28	13413	3.164436014127073	85954	1.817048725926546	18170.48725926546
29	12747	3.007311255653306	81665	1.7263802057238917	17263.802057238914
30	12255	2.8912371097537672	72661	1.536037618662875	15360.37618662875
31	11813	2.786959116892799	83097	1.7566523719468343	17566.523719468343
32	12095	2.8534894200303396	98337	2.0788226325876487	20788.226325876487
33	11133	2.6265314355682325	109056	2.3054199438611978	23054.199438611977
34	9455	2.2306525395937875	74606	1.5771544924782546	15771.544924782545
35	7736	1.8251007981277145	35769	0.7561488223662264	7561.488223662263
36	6886	1.6245661964720066	28343	0.5991648095369162	5991.648095369162
37	6291	1.4841919753130108	24922	0.5268456191397884	5268.456191397885
38	5579	1.316214756043759	22943	0.4850099927744229	4850.099927744229
39	4957	1.1694706122439351	17753	0.3752945299971377	3752.9452999713767
40	4229	0.9977186240023403	12612	0.2666149164830677	2666.1491648306765
41	3648	0.8606473256941446	10615	0.2243987740618271	2243.987740618271
42	2947	0.6952652600933783	6747	0.1426301016104708	1426.3010161047077
43	2535	0.5980649590555528	5117	0.10817225877290337	1081.7225877290336
44	2154	0.5081782729016413	4541	0.09599574498490408	959.9574498490408
45	1714	0.40437212616221596	3254	0.06878884698984318	687.8884698984318
46	1400	0.3302922850799897	2434	0.051454226666649755	514.5422666664975
47	1246	0.29396013372119084	2121	0.044837475250601534	448.3747525060153
48	950	0.22412690773285016	1491	0.031519413294977316	315.1941329497731
49	774	0.18260444903708004	1344	0.028411865505331663	284.1186550533166
50	542	0.1278702989381103	1069	0.022598425762797282	225.98425762797282
51	460	0.10852460795485376	961	0.020315329427547418	203.15329427547417
52	336	0.07927014841919754	563	0.011901696636534023	119.01696636534022
53	240	0.056621534585141096	627	0.013254642612978387	132.54642612978387
54	167	0.03939915114882735	219	0.004629612013145561	46.29612013145561
55	110	0.025951536684856336	151	0.0031921069131734237	31.921069131734235
56	93	0.021940844651742175	115	0.0024310748014234685	24.310748014234683
57	64	0.015099075889370959	78	0.0016489029087915698	16.489029087915696
58	49	0.01156022997779964	55	0.001162687948506876	11.626879485068761
