name	unique reads 32152408_EXO_S29 32152408_EXO_S29	32152408_EXO_S29	32152408_EXO_S29 (mult. map. adj.)	PM32152408_EXO_S29(lib)	32152408_EXO_S29 (total)	coordinateString 32152408_EXO_S29 32152408_EXO_S29	32152408_EXO_S29 (lib)	32152408_EXO_S29 (total)
hsa-miR-30a-5p	50	975	967.5	118339.6	51.42	6:hsa;hsa-mir-30a,71403556,71403577,-	117429.29967229033	51.027216097491255
hsa-miR-10a-5p	47	915	914	111057.17	48.26	17:hsa;hsa-mir-10a,48579859,48579881,-	110935.79317878383	48.20555608589871
hsa-miR-10b-5p	41	888	887	107780.07	46.83	2:hsa;hsa-mir-10b,176150329,176150351,+	107658.69644374317	46.78154075294547
hsa-miR-30d-5p	43	635	628.5	77072.46	33.49	8:hsa;hsa-mir-30d,134804881,134804902,-	76283.5295545576	33.147912472633855
hsa-let-7b-5p	32	480	479.2	58259.5	25.32	22:hsa;hsa-let-7b,46113691,46113712,+	58162.39834931424	25.27363509448869
hsa-miR-26a-5p	23	466	233	56560.26	24.58	12:hsa;hsa-mir-26a-2,57824622,57824643,-	28280.1310838694	12.28872491030022
hsa-miR-26a-5p	23	466	233	56560.26	24.58	3:hsa;hsa-mir-26a-1,37969413,37969434,+	28280.1310838694	12.28872491030022
hsa-let-7a-5p	24	454	150.78	55103.77	23.94	22:hsa;hsa-let-7a-3,46112752,46112773,+	18301.169235748686	7.952510319276548
hsa-let-7a-5p	24	454	150.78	55103.77	23.94	9:hsa;hsa-let-7a-1,94175962,94175983,+	18301.169235748686	7.952510319276548
hsa-let-7a-5p	24	454	150.78	55103.77	23.94	11:hsa;hsa-let-7a-2,122146526,122146547,-	18301.169235748686	7.952510319276548
hsa-let-7c-5p	23	306	304.53	37140.43	16.14	21:hsa;hsa-let-7c,16539838,16539859,+	36962.41453250799	16.06148652081585
hsa-let-7f-5p	12	292	146.33	35441.19	15.4	X:hsa;hsa-let-7f-2,53557199,53557220,-	17761.055144232716	7.7178114958823985
hsa-let-7f-5p	11	291	145.33	35319.82	15.35	9:hsa;hsa-let-7f-1,94176353,94176374,+	17639.681191083062	7.6650701872545
hsa-miR-203a-3p	11	225	225	27309.14	11.87	14:hsa;hsa-mir-203a,104117469,104117490,+	27309.13945867217	11.866794441277035
hsa-miR-184	5	190	190	23061.05	10.02	15:hsa;hsa-mir-184,79209840,79209861,+	23061.051098434276	10.020848639300608
hsa-miR-30c-5p	11	176	88	21361.82	9.28	1:hsa;hsa-mir-30c-1,40757300,40757322,+	10680.90787716956	4.641235159255018
hsa-miR-30c-5p	11	176	88	21361.82	9.28	6:hsa;hsa-mir-30c-2,71376966,71376988,-	10680.90787716956	4.641235159255018
hsa-miR-125a-5p	14	141	141	17113.73	7.44	19:hsa;hsa-mir-125a,51693268,51693291,+	17113.727394101224	7.436524516533609
hsa-miR-21-5p	11	128	128	15535.87	6.75	17:hsa;hsa-mir-21,59841273,59841294,+	15535.866003155723	6.750887504370936
hsa-miR-23b-3p	12	115	92	13958	6.07	9:hsa;hsa-mir-23b,95085265,95085287,+	11166.403689768176	4.85220039376661
hsa-miR-30a-3p	10	101	101	12258.77	5.33	6:hsa;hsa-mir-30a,71403597,71403618,-	12258.769268115062	5.326872171417691
hsa-miR-320a-3p	10	96	45.37	11651.9	5.06	8:hsa;hsa-mir-320a,22245007,22245028,-	5506.90964576145	2.392948517174341
hsa-miR-125b-5p	11	94	47	11409.15	4.96	21:hsa;hsa-mir-125b-2,16590253,16590274,+	5704.575798033742	2.4788415055112027
hsa-miR-125b-5p	11	94	47	11409.15	4.96	11:hsa;hsa-mir-125b-1,122099771,122099792,-	5704.575798033742	2.4788415055112027
hsa-miR-182-5p	7	94	94	11409.15	4.96	7:hsa;hsa-mir-182,129770405,129770428,-	11409.151596067484	4.9576830110224055
hsa-miR-222-3p	5	80	80	9709.92	4.22	X:hsa;hsa-mir-222,45747083,45747103,-	9709.916251972327	4.2193046902318345
hsa-miR-92a-3p	11	73	40.5	8860.3	3.85	13:hsa;hsa-mir-92a-1,91351361,91351382,+	4915.64510256099	2.1360229994298665
hsa-miR-27b-3p	7	73	57	8860.3	3.85	9:hsa;hsa-mir-27b,95085505,95085525,+	6918.315329530283	3.0062545917901824
hsa-miR-200c-3p	6	72	72	8738.92	3.8	12:hsa;hsa-mir-200c,6963742,6963764,+	8738.924626775095	3.7973742212086514
hsa-miR-200a-3p	5	65	65	7889.31	3.43	1:hsa;hsa-mir-200a,1167916,1167937,+	7889.306954727515	3.428185060813366
hsa-miR-92a-3p	10	65	32.5	7889.31	3.43	X:hsa;hsa-mir-92a-2,134169585,134169606,-	3944.6534773637577	1.714092530406683
hsa-miR-320c	5	62	11.37	7525.19	3.27	18:hsa;hsa-mir-320c-2,24321716,24321735,+	1380.195238673209	0.5997440238258106
hsa-miR-320b	5	62	11.37	7525.19	3.27	1:hsa;hsa-mir-320b-2,224257080,224257101,-	1380.195238673209	0.5997440238258106
hsa-miR-320c	5	62	11.37	7525.19	3.27	18:hsa;hsa-mir-320c-1,21683559,21683578,+	1380.195238673209	0.5997440238258106
hsa-miR-320b	5	62	11.37	7525.19	3.27	1:hsa;hsa-mir-320b-1,116671787,116671808,+	1380.195238673209	0.5997440238258106
hsa-miR-25-3p	5	56	56	6796.94	2.95	7:hsa;hsa-mir-25,100093611,100093632,-	6796.941376380629	2.9535132831622843
hsa-miR-27a-3p	4	56	40	6796.94	2.95	19:hsa;hsa-mir-27a,13836490,13836510,-	4854.958125986163	2.1096523451159173
hsa-miR-22-3p	4	51	51	6190.07	2.69	17:hsa;hsa-mir-22,1713955,1713976,-	6190.071610632359	2.6898067400227945
hsa-let-7g-5p	5	49	49	5947.32	2.58	3:hsa;hsa-let-7g,52268282,52268303,-	5947.32370433305	2.584324122766999
hsa-miR-99b-5p	5	48	48	5825.95	2.53	19:hsa;hsa-mir-99b,51692618,51692639,+	5825.949751183396	2.531582814139101
hsa-miR-23a-3p	4	47	24	5704.58	2.48	19:hsa;hsa-mir-23a,13836631,13836651,-	2912.974875591698	1.2657914070695504
hsa-miR-200b-3p	7	45	45	5461.83	2.37	1:hsa;hsa-mir-200b,1167160,1167181,+	5461.827891734434	2.373358888255407
hsa-let-7e-5p	7	44	41.75	5340.45	2.32	19:hsa;hsa-let-7e,51692793,51692814,+	5067.362543998058	2.201949635214739
hsa-miR-204-5p	5	42	42	5097.71	2.22	9:hsa;hsa-mir-204,70810007,70810028,-	5097.706032285471	2.2151349623717134
hsa-miR-151a-3p	3	41	41	4976.33	2.16	8:hsa;hsa-mir-151a,140732610,140732630,-	4976.332079135817	2.1623936537438153
hsa-miR-26b-5p	4	41	41	4976.33	2.16	2:hsa;hsa-mir-26b,218402657,218402677,+	4976.332079135817	2.1623936537438153
hsa-miR-191-5p	6	40	40	4854.96	2.11	3:hsa;hsa-mir-191,49020633,49020655,-	4854.958125986163	2.1096523451159173
hsa-miR-99a-5p	7	37	37	4490.84	1.95	21:hsa;hsa-mir-99a,16539101,16539122,+	4490.8362665372015	1.9514284192322235
hsa-miR-100-5p	5	36	36	4369.46	1.9	11:hsa;hsa-mir-100,122152241,122152262,-	4369.4623133875475	1.8986871106043257
hsa-miR-501-3p	5	35	35	4248.09	1.85	X:hsa;hsa-mir-501,50009772,50009793,+	4248.088360237893	1.8459458019764277
hsa-miR-30e-3p	2	32	32	3883.97	1.69	1:hsa;hsa-mir-30e,40754413,40754434,+	3883.9665007889307	1.687721876092734
hsa-miR-30b-5p	4	30	30	3641.22	1.58	8:hsa;hsa-mir-30b,134800536,134800557,-	3641.218594489623	1.582239258836938
hsa-miR-221-3p	4	29	29	3519.84	1.53	X:hsa;hsa-mir-221,45746221,45746243,-	3519.8446413399683	1.52949795020904
hsa-miR-24-3p	3	27	13.5	3277.1	1.42	19:hsa;hsa-mir-24-2,13836336,13836357,-	1638.5483675203302	0.7120076664766222
hsa-miR-24-3p	3	27	13.5	3277.1	1.42	9:hsa;hsa-mir-24-1,95086064,95086085,+	1638.5483675203302	0.7120076664766222
hsa-miR-660-5p	2	25	25	3034.35	1.32	X:hsa;hsa-mir-660,50013256,50013277,+	3034.348828741352	1.3185327156974485
hsa-miR-423-5p	4	24	24	2912.97	1.27	17:hsa;hsa-mir-423,30117095,30117117,+	2912.974875591698	1.2657914070695504
hsa-miR-1-3p	1	23	11.5	2791.6	1.21	20:hsa;hsa-mir-1-1,62554351,62554372,+	1395.800461221022	0.6065250492208263
hsa-miR-1-3p	1	23	11.5	2791.6	1.21	18:hsa;hsa-mir-1-2,21829056,21829077,-	1395.800461221022	0.6065250492208263
hsa-miR-125a-3p	1	21	21	2548.85	1.11	19:hsa;hsa-mir-125a,51693306,51693327,+	2548.8530161427357	1.1075674811858567
hsa-let-7d-5p	6	21	19.5	2548.85	1.11	9:hsa;hsa-let-7d,94178841,94178862,+	2366.7920864182547	1.0284555182440098
hsa-miR-320d	1	18	2.57	2184.73	0.95	13:hsa;hsa-mir-320d-1,40727857,40727875,-	312.1044509562534	0.135620507900309
hsa-miR-500a-3p	1	18	18	2184.73	0.95	X:hsa;hsa-mir-500a,50008482,50008503,+	2184.7311566937738	0.9493435553021629
hsa-miR-320d	1	18	2.57	2184.73	0.95	X:hsa;hsa-mir-320d-2,140926201,140926219,-	312.1044509562534	0.135620507900309
hsa-miR-10a-3p	2	17	17	2063.36	0.9	17:hsa;hsa-mir-10a,48579900,48579921,-	2063.3572035441193	0.8966022466742649
hsa-miR-363-3p	1	17	17	2063.36	0.9	X:hsa;hsa-mir-363,134169427,134169448,-	2063.3572035441193	0.8966022466742649
hsa-miR-98-5p	2	16	16	1941.98	0.84	X:hsa;hsa-mir-98,53556244,53556265,-	1941.9832503944654	0.843860938046367
hsa-miR-502-3p	2	15	15	1820.61	0.79	X:hsa;hsa-mir-502,50014649,50014670,+	1820.6092972448114	0.791119629418469
hsa-miR-328-3p	1	15	15	1820.61	0.79	16:hsa;hsa-mir-328,67202368,67202389,-	1820.6092972448114	0.791119629418469
hsa-miR-30c-1-3p	1	15	15	1820.61	0.79	1:hsa;hsa-mir-30c-1,40757339,40757360,+	1820.6092972448114	0.791119629418469
hsa-miR-224-5p	2	13	13	1577.86	0.69	X:hsa;hsa-mir-224,151958584,151958608,-	1577.8613909455032	0.6856370121626731
