name	unique reads 32151444_EXO_S22	32151444_EXO_S22	32151444_EXO_S22 (mult. map. adj.)	PM32151444_EXO_S22(lib)	32151444_EXO_S22 (total)	coordinateString 32151444_EXO_S22	32151444_EXO_S22 (lib)	32151444_EXO_S22 (total)
hsa-miR-30a-5p	664	163698	163537.5	149734.51	34203.71	6:hsa;hsa-mir-30a,71403556,71403577,-	149587.69911868684	34170.17483595809
hsa-let-7a-5p	400	101938	34118.9	93242.66	21299.33	22:hsa;hsa-let-7a-3,46112752,46112773,+	31208.54695382152	7128.938489401974
hsa-let-7a-5p	391	101795	33966.07	93111.85	21269.45	11:hsa;hsa-let-7a-2,122146526,122146547,-	31068.750352540646	7097.004885667285
hsa-let-7a-5p	388	101715	33894.4	93038.68	21252.74	9:hsa;hsa-let-7a-1,94175962,94175983,+	31003.196875386035	7082.030567667374
hsa-let-7b-5p	689	101443	101212.9	92789.88	21195.9	22:hsa;hsa-let-7b,46113691,46113712,+	92579.40736607653	21147.825352927266
hsa-miR-10a-5p	570	74990	74937	68593.33	15668.71	17:hsa;hsa-mir-10a,48579859,48579881,-	68544.85001211977	15657.634436641083
hsa-miR-26a-5p	298	68684	34381.5	62825.23	14351.11	12:hsa;hsa-mir-26a-2,57824622,57824643,-	31448.747090111636	7183.807176473243
hsa-miR-26a-5p	291	68616	34313.5	62763.03	14336.9	3:hsa;hsa-mir-26a-1,37969413,37969434,+	31386.54751178819	7169.598986371003
hsa-miR-30d-5p	457	67561	67449.5	61798.03	14116.46	8:hsa;hsa-mir-30d,134804881,134804902,-	61696.036148931395	14093.166445603943
hsa-miR-10b-5p	464	63365	63313	57959.95	13239.73	2:hsa;hsa-mir-10b,176150329,176150351,+	57912.38091753524	13228.86970504633
hsa-miR-30c-5p	347	45880	22951	41966.42	9586.35	1:hsa;hsa-mir-30c-1,40757300,40757322,+	20993.27238384457	4795.473103478248
hsa-miR-30c-5p	350	45877	22948	41963.68	9585.72	6:hsa;hsa-mir-30c-2,71376966,71376988,-	20990.52828480089	4794.8462715619735
hsa-miR-125a-5p	309	35349	35349	32333.72	7385.96	19:hsa;hsa-mir-125a,51693268,51693291,+	32333.719031698914	7385.960469472032
hsa-miR-204-5p	332	32307	32303	29551.2	6750.35	9:hsa;hsa-mir-204,70810007,70810028,-	29547.543802680982	6749.517130480495
