name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	181023-190319_Brain_S29 (mult. map. adj.)	PM181023-190319_Brain_S29(lib)	181023-190319_Brain_S29 (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	181023-190319_Brain_S29 (total)
hsa-miR-9-5p	2885	3670116	1228728.67	141132.78	108032.63	5:hsa;hsa-mir-9-2,88666868,88666890,-	47250.24802885135	36168.55473970286
hsa-miR-9-5p	2883	3670109	1228722.17	141132.51	108032.43	1:hsa;hsa-mir-9-1,156420356,156420378,-	47249.99807406432	36168.363407301986
hsa-miR-9-5p	2647	3639987	1214657.17	139974.18	107145.76	15:hsa;hsa-mir-9-3,89368032,89368054,+	46709.13436952595	35754.349527578655
hsa-let-7a-5p	2055	3318782	1133696.48	127622.38	97690.85	9:hsa;hsa-let-7a-1,94175962,94175983,+	43595.8249918239	33371.2107008726
hsa-let-7a-5p	1764	3280478	1095288.81	126149.41	96563.34	11:hsa;hsa-let-7a-2,122146526,122146547,-	42118.87420078176	32240.652073941434
hsa-let-7a-5p	1736	3280064	1095868.31	126133.49	96551.16	22:hsa;hsa-let-7a-3,46112752,46112773,+	42141.158631409555	32257.71009337262
hsa-let-7f-5p	1437	2133820	1096675.36	82055.16	62810.6	X:hsa;hsa-let-7f-2,53557199,53557220,-	42172.19340231314	32281.466218622485
hsa-let-7f-5p	1251	2078493	1041386.88	79927.58	61182.01	9:hsa;hsa-let-7f-1,94176353,94176374,+	40046.09785208396	30654.008025316318
hsa-miR-26a-5p	1513	1538217	776992.83	59151.49	45278.58	12:hsa;hsa-mir-26a-2,57824622,57824643,-	29878.93510390538	22871.36988592655
hsa-miR-26a-5p	1365	1522986	761783.33	58565.79	44830.24	3:hsa;hsa-mir-26a-1,37969413,37969434,+	29294.06012955939	22423.666785773545
hsa-miR-128-3p	1728	1225708	760143.5	47134.09	36079.64	2:hsa;hsa-mir-128-1,135665446,135665466,+	29231.00102316108	22375.39705520596
hsa-miR-128-3p	1457	1010451	544886.5	38856.47	29743.39	3:hsa;hsa-mir-128-2,35744527,35744547,+	20953.38293231036	16039.144960815272
hsa-miR-30d-5p	1608	875851	873994.5	33680.48	25781.33	8:hsa;hsa-mir-30d,134804881,134804902,-	33609.09370893411	25726.687081539483
hsa-let-7g-5p	1106	767447	762908.86	29511.85	22590.38	3:hsa;hsa-let-7g,52268282,52268303,-	29337.341952558138	22456.797637984277
hsa-miR-143-3p	1260	709546	709546	27285.3	20886.02	5:hsa;hsa-mir-143,149428978,149428998,+	27285.295279088557	20886.021493222226
hsa-miR-30a-5p	1412	618977	617000	23802.5	18220.05	6:hsa;hsa-mir-30a,71403556,71403577,-	23726.47747601655	18161.860205424473
hsa-miR-9-3p	1044	591980	201995.67	22764.34	17425.38	5:hsa;hsa-mir-9-2,88666905,88666926,-	7767.65905254397	5945.894748948999
