name	unique reads 181003-190524_Brain_S35 181003-190524_Brain_S35	181003-190524_Brain_S35	181003-190524_Brain_S35 (mult. map. adj.)	PM181003-190524_Brain_S35(lib)	181003-190524_Brain_S35 (total)	coordinateString 181003-190524_Brain_S35 181003-190524_Brain_S35	181003-190524_Brain_S35 (lib)	181003-190524_Brain_S35 (total)
hsa-let-7a-5p	2064	3887390	1302698.52	153675.88	121099.84	9:hsa;hsa-let-7a-1,94175962,94175983,+	51498.13699747638	40581.62096980142
hsa-let-7a-5p	1893	3882285	1297866.94	153474.07	120940.81	22:hsa;hsa-let-7a-3,46112752,46112773,+	51307.135367919094	40431.10764665562
hsa-let-7a-5p	1900	3878961	1293987.69	153342.67	120837.26	11:hsa;hsa-let-7a-2,122146526,122146547,-	51153.78127665291	40310.2613798045
hsa-miR-9-5p	2662	3115240	1039611.17	123151.33	97045.85	5:hsa;hsa-mir-9-2,88666868,88666890,-	41097.79615501311	32385.93245302513
hsa-miR-9-5p	2658	3115209	1039580.17	123150.11	97044.89	1:hsa;hsa-mir-9-1,156420356,156420378,-	41096.570666367305	32384.96674205719
hsa-miR-9-5p	2544	3109463	1037365.67	122922.95	96865.89	15:hsa;hsa-mir-9-3,89368032,89368054,+	41009.02729197562	32315.980711782835
hsa-let-7f-5p	1385	1913609	974686	75648.58	59612.68	X:hsa;hsa-let-7f-2,53557199,53557220,-	38531.18167947863	30363.38597087083
hsa-let-7f-5p	1244	1881005	942132.3	74359.69	58597.01	9:hsa;hsa-let-7f-1,94176353,94176374,+	37244.272333380395	29349.274192256147
hsa-miR-128-3p	1880	1573919	968389.5	62220	49030.67	2:hsa;hsa-mir-128-1,135665446,135665466,+	38282.26893451115	30167.237464152655
hsa-miR-26a-5p	1605	1564916	785569	61864.09	48750.21	12:hsa;hsa-mir-26a-2,57824622,57824643,-	31055.0287096411	24472.01933465505
hsa-miR-26a-5p	1491	1559365	780018.5	61644.65	48577.29	3:hsa;hsa-mir-26a-1,37969413,37969434,+	30835.60694420374	24299.11034344358
hsa-miR-128-3p	1630	1312989	707459.5	51904.94	40902.19	3:hsa;hsa-mir-128-2,35744527,35744547,+	27967.21240706843	22038.7547910946
hsa-let-7b-5p	2150	821259	816201.7	32465.92	25583.83	22:hsa;hsa-let-7b,46113691,46113712,+	32265.997291591026	25426.28818522411
hsa-miR-30d-5p	1638	676531	674703	26744.55	21075.27	8:hsa;hsa-mir-30d,134804881,134804902,-	26672.2859933131	21018.32539363158
hsa-let-7g-5p	1112	667414	662865.69	26384.14	20791.26	3:hsa;hsa-let-7g,52268282,52268303,-	26204.334659888096	20649.569847264975
hsa-miR-143-3p	1296	617067	617067	24393.83	19222.85	5:hsa;hsa-mir-143,149428978,149428998,+	24393.82587751312	19222.85064046263
hsa-let-7c-5p	1329	607947	584190.42	24033.3	18938.74	21:hsa;hsa-let-7c,16539838,16539859,+	23094.152530664556	18198.680559340155
hsa-miR-125b-5p	1275	571579	286499	22595.6	17805.81	11:hsa;hsa-mir-125b-1,122099771,122099792,-	11325.847468883658	8925.007309808989
hsa-miR-125b-5p	1256	570696	285616	22560.69	17778.3	21:hsa;hsa-mir-125b-2,16590253,16590274,+	11290.940808424024	8897.50012320603
hsa-miR-125a-5p	1402	539032	539032	21308.95	16791.91	19:hsa;hsa-mir-125a,51693268,51693291,+	21308.954700879567	16791.906918421908
hsa-miR-9-3p	1153	523074	179207	20678.1	16294.78	5:hsa;hsa-mir-9-2,88666905,88666926,-	7084.391733849832	5582.650497799109
hsa-miR-9-3p	1153	523074	179207	20678.1	16294.78	1:hsa;hsa-mir-9-1,156420395,156420416,-	7084.391733849832	5582.650497799109
hsa-miR-9-3p	982	494674	165354	19555.4	15410.07	15:hsa;hsa-mir-9-3,89368071,89368092,+	6536.756436740784	5151.102302996391
hsa-miR-181a-5p	1406	441392	220653.33	17449.06	13750.23	9:hsa;hsa-mir-181a-2,124692480,124692502,+	8722.843698700783	6873.785293958162
hsa-miR-181a-5p	1407	441386	220647.33	17448.82	13750.04	1:hsa;hsa-mir-181a-1,198859067,198859089,-	8722.606507349981	6873.598382157916
hsa-miR-30a-5p	1295	434771	432867	17187.32	13543.97	6:hsa;hsa-mir-30a,71403556,71403577,-	17112.051407904608	13484.65837289166
hsa-miR-27b-3p	1025	343662	340417.5	13585.61	10705.75	9:hsa;hsa-mir-27b,95085505,95085525,+	13457.347776916158	10604.674626741808
hsa-miR-219a-2-3p	1079	343288	343288	13570.82	10694.1	9:hsa;hsa-mir-219a-2,128392679,128392700,-	13570.824072328815	10694.096347176457
hsa-let-7e-5p	1088	290469	283543.52	11482.79	9048.68	19:hsa;hsa-let-7e,51692793,51692814,+	11209.011621532842	8832.938191403624
hsa-miR-124-3p	1216	287508	95836	11365.74	8956.44	8:hsa;hsa-mir-124-1,9903440,9903461,-	3788.5783825700014	2985.4798814056776
hsa-miR-124-3p	1216	287508	95836	11365.74	8956.44	8:hsa;hsa-mir-124-2,64379210,64379231,+	3788.5783825700014	2985.4798814056776
hsa-miR-124-3p	1216	287508	95836	11365.74	8956.44	20:hsa;hsa-mir-124-3,63178552,63178573,+	3788.5783825700014	2985.4798814056776
hsa-miR-100-5p	904	260393	260163.5	10293.83	8111.75	11:hsa;hsa-mir-100,122152241,122152262,-	10284.755332377821	8104.604690576549
hsa-miR-103a-3p	840	227205	113249	8981.84	7077.88	20:hsa;hsa-mir-103a-2,3917541,3917563,+	4476.947214488012	3527.929077688071
hsa-miR-103a-3p	786	225820	111873.5	8927.09	7034.74	5:hsa;hsa-mir-103a-1,168560943,168560965,-	4422.57109731675	3485.079547481536
hsa-miR-7-5p	1019	218307	78849.67	8630.09	6800.69	15:hsa;hsa-mir-7-2,88611856,88611879,+	3117.0764911534397	2456.3221909186013
hsa-miR-98-5p	608	212884	209351.98	8415.71	6631.76	X:hsa;hsa-mir-98,53556244,53556265,-	8276.079953303877	6521.7260150053235
hsa-miR-7-5p	915	210144	70675.67	8307.39	6546.4	9:hsa;hsa-mir-7-1,83969771,83969794,-	2793.942807578086	2201.6860150493007
hsa-miR-7-5p	884	209336	69861.67	8275.45	6521.23	19:hsa;hsa-mir-7-3,4770700,4770723,+	2761.7638476526718	2176.328314149177
hsa-miR-92a-3p	1050	201625	107130	7970.62	6281.02	13:hsa;hsa-mir-92a-1,91351361,91351382,+	4235.051568562215	3337.310193403247
hsa-miR-92a-3p	888	189613	95118	7495.76	5906.82	X:hsa;hsa-mir-92a-2,134169585,134169606,-	3760.194484257451	2963.112769309531
hsa-let-7i-5p	759	185831	185256.5	7346.25	5789	12:hsa;hsa-let-7i,62603691,62603712,+	7323.539913295493	5771.104320397729
hsa-miR-99b-5p	686	170905	170904.5	6756.2	5324.03	19:hsa;hsa-mir-99b,51692618,51692639,+	6756.178202178112	5324.011294207834
