name	unique reads 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	PM180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32 (total)	coordinateString 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
hsa-let-7a-5p	968	996982	333001.23	108637.77	77412.82	22:hsa;hsa-let-7a-3,46112752,46112773,+	36286.02353302578	25856.597862857194
hsa-let-7a-5p	966	996313	332136.06	108564.88	77360.87	11:hsa;hsa-let-7a-2,122146526,122146547,-	36191.749232113034	25789.42013297218
hsa-let-7a-5p	954	995710	331728.06	108499.17	77314.05	9:hsa;hsa-let-7a-1,94175962,94175983,+	36147.29084478219	25757.740093912555
hsa-miR-9-5p	1434	978542	326288.83	106628.43	75981	5:hsa;hsa-mir-9-2,88666868,88666890,-	35554.59640701331	25335.39947235081
hsa-miR-9-5p	1432	978539	326285.83	106628.1	75980.77	1:hsa;hsa-mir-9-1,156420356,156420378,-	35554.269507106466	25335.166530887138
hsa-miR-9-5p	1433	978428	326493.33	106616.01	75972.15	15:hsa;hsa-mir-9-3,89368032,89368054,+	35576.88008399654	25351.2783154579
hsa-miR-26a-5p	959	773428	387129.33	84277.85	60054.48	12:hsa;hsa-mir-26a-2,57824622,57824643,-	42184.18100113676	30059.491179231467
hsa-miR-26a-5p	936	772744	386445.33	84203.31	60001.37	3:hsa;hsa-mir-26a-1,37969413,37969434,+	42109.64782237623	30006.38052551386
hsa-miR-128-3p	1192	541630	322869.5	59019.6	42056.03	2:hsa;hsa-mir-128-1,135665446,135665466,+	35182.00315763517	25069.897968533027
hsa-let-7f-5p	702	528886	268514.01	57630.93	41066.49	X:hsa;hsa-let-7f-2,53557199,53557220,-	29259.068492696344	20849.348983331794
hsa-let-7f-5p	652	521351	261015.71	56809.86	40481.42	9:hsa;hsa-let-7f-1,94176353,94176374,+	28442.00396886584	20267.12732431027
hsa-miR-128-3p	1035	472122	253361.5	51445.55	36658.93	3:hsa;hsa-mir-128-2,35744527,35744547,+	27607.95024932111	19672.799549522268
hsa-miR-181a-5p	1064	380181	190088.75	41427.04	29519.97	9:hsa;hsa-mir-181a-2,124692480,124692502,+	20713.331555724286	14759.85055096868
hsa-miR-181a-5p	1062	380161	190068.75	41424.87	29518.42	1:hsa;hsa-mir-181a-1,198859067,198859089,-	20711.152223011988	14758.297607877521
hsa-let-7g-5p	669	274927	273586.4	29957.87	21347.3	3:hsa;hsa-let-7g,52268282,52268303,-	29811.789039078303	21243.205115992063
hsa-miR-30d-5p	863	249911	249502.5	27231.96	19404.88	8:hsa;hsa-mir-30d,134804881,134804902,-	27187.44800248357	19373.15918008332
hsa-miR-30a-5p	894	244258	243827	26615.97	18965.94	6:hsa;hsa-mir-30a,71403556,71403577,-	26569.007862051727	18932.47275438994
hsa-miR-143-3p	704	237414	237414	25870.2	18434.52	5:hsa;hsa-mir-143,149428978,149428998,+	25870.204827853966	18434.521552210103
hsa-let-7b-5p	998	214499	213182.43	23373.23	16655.24	22:hsa;hsa-let-7b,46113691,46113712,+	23229.77253251138	16553.009350063294
hsa-miR-9-3p	665	195999	66865	21357.35	15218.76	5:hsa;hsa-mir-9-2,88666905,88666926,-	7286.054090384136	5191.8769895142295
hsa-miR-9-3p	665	195999	66865	21357.35	15218.76	1:hsa;hsa-mir-9-1,156420395,156420416,-	7286.054090384136	5191.8769895142295
hsa-miR-9-3p	575	187164	62626	20394.63	14532.75	15:hsa;hsa-mir-9-3,89368071,89368092,+	6824.144522013001	4862.730701343302
hsa-miR-27b-3p	667	187134	184792.33	20391.36	14530.42	9:hsa;hsa-mir-27b,95085505,95085525,+	20136.198850743425	14348.598867448958
hsa-miR-125b-5p	698	175897	88087.17	19166.9	13657.9	11:hsa;hsa-mir-125b-1,122099771,122099792,-	9598.562192507505	6839.717844734471
hsa-miR-125b-5p	695	175820	88010.17	19158.51	13651.92	21:hsa;hsa-mir-125b-2,16590253,16590274,+	9590.171761565163	6833.739013833513
hsa-let-7c-5p	613	156401	147459.56	17042.49	12144.09	21:hsa;hsa-let-7c,16539838,16539859,+	16068.17234999539	11449.815394259796
hsa-miR-125a-5p	698	148824	148824	16216.85	11555.76	19:hsa;hsa-mir-125a,51693268,51693291,+	16216.850578738147	11555.760129925431
hsa-miR-124-3p	741	146444	48828.67	15957.51	11370.96	8:hsa;hsa-mir-124-1,9903440,9903461,-	5320.695528223612	3791.4070275230433
hsa-miR-124-3p	739	146423	48807.67	15955.22	11369.33	20:hsa;hsa-mir-124-3,63178552,63178573,+	5318.407228875701	3789.776437277327
hsa-miR-124-3p	739	146423	48807.67	15955.22	11369.33	8:hsa;hsa-mir-124-2,64379210,64379231,+	5318.407228875701	3789.776437277327
hsa-miR-98-5p	373	97567	96630.65	10631.55	7575.8	X:hsa;hsa-mir-98,53556244,53556265,-	10529.516827772022	7503.095015580679
hsa-miR-219a-2-3p	471	91985	91985	10023.3	7142.37	9:hsa;hsa-mir-219a-2,128392679,128392700,-	10023.29597702809	7142.373512008754
hsa-let-7i-5p	448	89365	89104.25	9737.8	6938.94	12:hsa;hsa-let-7i,62603691,62603712,+	9709.390341480732	6918.691471516073
hsa-miR-181b-5p	753	86406	44107.75	9415.37	6709.18	9:hsa;hsa-mir-181b-2,124693725,124693747,+	4806.273122039039	3424.84128145137
