name	unique reads 32161248_EXO_S29	32161248_EXO_S29	32161248_EXO_S29 (mult. map. adj.)	PM32161248_EXO_S29(lib)	32161248_EXO_S29 (total)	coordinateString 32161248_EXO_S29	32161248_EXO_S29 (lib)	32161248_EXO_S29 (total)
hsa-miR-30a-5p	1157	573211	572598.5	155619.83	36483.91	6:hsa;hsa-mir-30a,71403556,71403577,-	155453.5394686331	36444.92276851278
hsa-let-7a-5p	567	335559	112488.83	91100.19	21357.76	11:hsa;hsa-let-7a-2,122146526,122146547,-	30539.350316113847	7159.722882320758
hsa-let-7a-5p	569	335504	112428.33	91085.26	21354.26	22:hsa;hsa-let-7a-3,46112752,46112773,+	30522.92530078836	7155.872159995263
hsa-let-7a-5p	563	335078	112069.83	90969.61	21327.15	9:hsa;hsa-let-7a-1,94175962,94175983,+	30425.59690419021	7133.054243405346
hsa-miR-30d-5p	904	289313	288839	78544.97	18414.28	8:hsa;hsa-mir-30d,134804881,134804902,-	78416.28101816634	18384.112161548557
hsa-let-7b-5p	918	281449	280992.15	76409.99	17913.75	22:hsa;hsa-let-7b,46113691,46113712,+	76285.95653045035	17884.673475931842
hsa-miR-10b-5p	778	264183	263970	71722.48	16814.8	2:hsa;hsa-mir-10b,176150329,176150351,+	71664.64951189198	16801.242516709906
hsa-miR-10a-5p	856	248514	248299.5	67468.53	15817.49	17:hsa;hsa-mir-10a,48579859,48579881,-	67410.29905473358	15803.841786103769
hsa-miR-26a-5p	551	233462	116927.5	63382.1	14859.46	12:hsa;hsa-mir-26a-2,57824622,57824643,-	31744.39635489544	7442.236937426972
hsa-miR-26a-5p	546	233164	116629.5	63301.19	14840.49	3:hsa;hsa-mir-26a-1,37969413,37969434,+	31663.492973622782	7423.269743162549
hsa-let-7f-5p	319	126519	64422.73	34348.37	8052.72	X:hsa;hsa-let-7f-2,53557199,53557220,-	17489.987851047692	4100.397190263247
hsa-let-7f-5p	309	125272	63154.18	34009.83	7973.35	9:hsa;hsa-let-7f-1,94176353,94176374,+	17145.59193053282	4019.6561356185057
